pulseT,prevPT,timeStamp,ID,coordinate0,coordinate1,pulseHeight0,pulseHeight1,mult0,mult1,clusterTimeSpan,timeBetweenEvents,absCoordinate0,absCoordinate1,absCoordinate2,ToF,wavelength
1756465778519830862,1756465778448402271,1756465778519996676,0,292.24,514.99,2112,1261,6,5,109,0,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778524922125,0,616.85,421.99,1244,875,3,3,120,158011,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778529125199,0,82.91,550.52,851,1070,3,4,91,1029764,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778529488604,0,215.91,384.02,1740,747,7,3,98,363405,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778530511926,0,183.42,77.56,2708,2699,6,9,111,135878,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778536856629,0,52.46,476.56,623,493,2,2,29,422921,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778537140698,0,97.13,124.34,1365,956,3,4,227,284069,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778542638635,0,233.07,282.59,2550,1565,5,6,56,5244844,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778544520478,0,398.6,183.9,542,1090,2,3,56,113267,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778546429707,0,509.07,37.34,2522,2467,7,5,139,534857,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778546842125,0,126.48,508.76,957,1087,4,5,37,301245,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778550054577,0,367.82,486.0,1539,230,5,1,83,300840,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778555611309,0,515.58,315.93,1663,874,4,3,36,1013672,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778556643874,0,161.28,454.13,2392,1596,5,5,123,1032565,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778557372890,0,345.38,157.49,1204,406,4,2,131,729016,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778557543769,0,183.9,559.97,1272,702,3,3,59,170879,0.0,0.0,0.0,0,0.0
1756465778519830862,1756465778448402271,1756465778557719185,0,605.55,57.87,1916,1310,5,3,45,175416,0.0,0.0,0.0,0,0.0
